PER: None 	 Loss: 3.6918643265962596 	 lr: 0.005
PER: None 	 Loss: 3.386215749382974 	 lr: 0.005
PER: None 	 Loss: 3.0698949217796327 	 lr: 0.005
PER: None 	 Loss: 2.547276473045348 	 lr: 0.005
PER: None 	 Loss: 2.190604899823666 	 lr: 0.005
PER: None 	 Loss: 1.9878306806087487 	 lr: 0.005
PER: None 	 Loss: 1.8393424481153495 	 lr: 0.005
PER: None 	 Loss: 1.7358090505003927 	 lr: 0.005
PER: None 	 Loss: 1.6550419904291633 	 lr: 0.005
PER: None 	 Loss: 1.4759070046246043 	 lr: 0.0025
PER: None 	 Loss: 1.4004889510571967 	 lr: 0.0025
PER: None 	 Loss: 1.3555333398282532 	 lr: 0.0025
PER: None 	 Loss: 1.236918135359883 	 lr: 0.00125
PER: None 	 Loss: 1.1979049701243643 	 lr: 0.00125
PER: None 	 Loss: 1.1575364876538516 	 lr: 0.00125
PER: None 	 Loss: 1.0894325066357853 	 lr: 0.000625
PER: None 	 Loss: 1.0704459749162192 	 lr: 0.000625
PER: None 	 Loss: 1.034035091847181 	 lr: 0.0003125
PER: None 	 Loss: 1.0158235410228373 	 lr: 0.00015625
PER: None 	 Loss: 0.9745013866573572 	 lr: 7.8125e-05
